order,set_key,file_path,thumbnail,width,height
62,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_064.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_064.jpg,900,1487
63,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_065.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_065.jpg,900,1487
64,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_066.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_066.jpg,900,1487
65,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_067.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_067.jpg,900,1489
66,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_068.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_068.jpg,900,1487
67,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_069.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_069.jpg,900,1487
68,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_070.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_070.jpg,900,1487
69,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_071.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_071.jpg,900,1488
70,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_072.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_072.jpg,900,1489
71,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_073.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_073.jpg,900,1487
72,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_074.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_074.jpg,900,1496
73,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_075.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_075.jpg,900,1490
74,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_076.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_076.jpg,900,1487
75,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_077.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_077.jpg,900,1487
76,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_078.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_078.jpg,900,1487
77,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_079.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_079.jpg,900,1488
78,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_080.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_080.jpg,900,1487
79,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_081.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_081.jpg,900,1487
